RFID,NLISID,Visual_ID,IssueDate,ManufactureDate,Colour
NK509384,940 110030374791,NK509384ASU00001,CHAD 001,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374792,NK509384ASU00002,CHAD 002,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374793,NK509384ASU00003,CHAD 003,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374794,NK509384ASU00004,CHAD 004,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374795,NK509384ASU00005,CHAD 005,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374796,NK509384ASU00006,CHAD 006,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374797,NK509384ASU00007,CHAD 007,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374798,NK509384ASU00008,CHAD 008,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374799,NK509384ASU00009,CHAD 009,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374800,NK509384ASU00010,CHAD 010,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374781,NK509384ASU00011,CHAD 011,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374782,NK509384ASU00012,CHAD 012,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374783,NK509384ASU00013,CHAD 013,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374784,NK509384ASU00014,CHAD 014,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374785,NK509384ASU00015,CHAD 015,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374786,NK509384ASU00016,CHAD 016,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374787,NK509384ASU00017,CHAD 017,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374788,NK509384ASU00018,CHAD 018,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374789,NK509384ASU00019,CHAD 019,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374790,NK509384ASU00020,CHAD 020,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374771,NK509384ASU00021,CHAD 021,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374772,NK509384ASU00022,CHAD 022,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374773,NK509384ASU00023,CHAD 023,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374774,NK509384ASU00024,CHAD 024,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374775,NK509384ASU00025,CHAD 025,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374776,NK509384ASU00026,CHAD 026,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374777,NK509384ASU00027,CHAD 027,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374778,NK509384ASU00028,CHAD 028,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374779,NK509384ASU00029,CHAD 029,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374780,NK509384ASU00030,CHAD 030,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374761,NK509384ASU00031,CHAD 031,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374762,NK509384ASU00032,CHAD 032,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374763,NK509384ASU00033,CHAD 033,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374764,NK509384ASU00034,CHAD 034,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374765,NK509384ASU00035,CHAD 035,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374766,NK509384ASU00036,CHAD 036,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374767,NK509384ASU00037,CHAD 037,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374768,NK509384ASU00038,CHAD 038,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374769,NK509384ASU00039,CHAD 039,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374770,NK509384ASU00040,CHAD 040,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374751,NK509384ASU00041,CHAD 041,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374752,NK509384ASU00042,CHAD 042,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374753,NK509384ASU00043,CHAD 043,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374754,NK509384ASU00044,CHAD 044,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374755,NK509384ASU00045,CHAD 045,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374756,NK509384ASU00046,CHAD 046,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374757,NK509384ASU00047,CHAD 047,17/11/2023,17/11/2023,BLACK
